,star,time,review_content
10,5,5달,11시전에 도착해도 주차장에들어가는 차들이 늘어서 주차가 힘듭니다전통 기와집들이 음식점 상점 숙박업소 등으로이용 되고 있습니다멋진 기와집이 있는 골목길을 거닐면옛 정취를 느낄수 있고한복대여로 단장한 관광객들도 큰 볼거리를 제공해줍니다
11,5,1달,"** 2022.06.06 *-> 전주 한옥마을전주 도심,풍남동 일대에 700여채의 한옥이군락을 이루고 있는국내 최대의 전통 한옥마을,한옥촌 내에는 경기전,오목대,향교,전동성당등 많은 문화재가 있어연계 관광하기에 좋다.젊은 학생층에서 부터중장년나이의 폭넓은 세대에서많이 찾는 곳이다.사람들이 많아서 활기도 넘치지만화려한 한복차림의 여행객들로거리는 아름다움으로 가득 채워진다.특히 경기전에는 한복과 어울리는포인트가 많고 사람들도 비교적 한산해사진찍기에도 더없이 좋은 곳이다.경기전은 태조 이성계의 초상화를봉안한 곳이며조선왕조실록을 보관했었던전주사고도 있다.1410년(태종11)에 이성계의 어진을봉안하기 위해 지어졌지만정유재란때 소실돼 1614년(광해군6)에중건하였다고 한다.공교롭게도 갔던날이 휴관일(월)이라초상화를 보관한 어진박물관은들어갈수가 없어 아쉬움으로 남는다.어진(왕의 초상)"
12,5,7달,"전주시 풍남동 일대에 700여채의  한옥이 밀집되어 있는 마을로 도심에 조성된 한옥마을로는 전국 최대규모라고 합니다.방문한 날이 토요일이라 주말 차없는 거리 정책에 따라 한옥마을 내의 주차장을 이용할 수 없어 주변 이면거리를 맴돌다 겨우 주차할 수 있었습니다.시간 관계상 청연루를 지나 전주향교 방향으로 절반 밖에 둘러보지 못해 많이 아쉬웠습니다.주변에 공공자전거 대여점도 있고, 타요타에서 킥보드나 바이크를 빌려서 둘러 볼 수도있습니다. 한복 대여점도 있어서 한복을 입고 한옥마을을 둘러보면서 옛정취를 즐겨보시는 것도 좋을것 깉습니다. 한옥에는 실제 거주하는것 보다는 상가로 개조해서 활용하거나 숙박업소로 개조해서 활용하는 집들이 많이 보입니다. 전주항교에 방운해서 국궁도 즐겨보시고, 상가를 방문해서 각종 전통 기념품들을 구매해보세요."
13,5,6달,전주오면 당연히 가야하줘. 전망커피숍에서 쉬어가는 것도 좋아요. 그리고 경기전 너무 좋네요.  다만 박물관이 안열어서 좀 아쉽.
14,5,6달,전주 한옥 마을은 매번 가도 볼거리와 즐길건리 그리고 맛있는 음식있는 훌륭한 곳입니다.이번에는 신뱅이 식당에서 비빔밥 콩나물밥을 먹었습니다
15,4,2달,5월에 날씨는 딱 돌아다니기 좋을정도 가로수와 화단이 이쁘게 꾸며져서 돌아다니면서도 덥거나 하지않아서 좋았어요. 사람들은 예전보다 많았지만 부담스러울정도는 아니였어요
16,5,1주,"날은 무척더워서 걷기힘들었지만,사진은 예쁘게나오네요.아직 전동성당 공사중이네요.향교길에서 자만벽화마을과 한벽굴 함께 돌아보면 좋을것같아요"
17,5,7달,해외 동포로 오랫간만에 방문하여 전통과 예술과 그리고 먹거리 등 모두 환상적인 곳으로 하루 일정으론  이곳 감성을 느끼기엔 부족감을 느끼고 다음에 다시 와서  제대로 느낄 예정입니다.다른 여행지에 비해서 정성스런 음식에 비해 가격도 저렴했습니다.
18,3,6달,"1. 근경보다 원경이 아름다운 곳2. 대부분  최근 인공으로 만든 한옥인 듯3. 관광지에서 볼 수 있는 국적 불명, 뻔한 길거리 음식 많음"
19,4,2달,"북적거릴때도 한적할때도 나름의 즐거움과 재미가 있는 곳, 한 걸음씩 걷다보면 이상하게 마음이 안정되는 편안함이 있는 곳"
20,4,2주,한번쯤 가볼만해요. 한옥들이 예쁘구 정겨워요. 데이트립이라 못가본 곳이 많고 날씨가 습하고 비까지 내려서 한복입고 다니기 너무 힘들었어요 ㅜㅜ 날씨가 좀 선선해지면 다시 가보고 싶은곳
21,4,1달,밤이라 한적했다 확실히 코로나여파가 아직은남아있는지 공실은 좀 있었다 낮에 상권이 활발한지라 낮방문을 추천한다.
22,5,4달,중부권 최고의 관광 명소난개발로 옛정취는 사라졌지만 그래도 넉넉한 인심의 전라도 밥상 술상이 여전하고 볼거리 먹거리가 집중되어 있는 최고의 관광지
23,3,8달,한옥 컨텐츠 대표적인 도시이고 주말과 휴일에는 방문객이 많아서 혼잡하고 주차 공간이 부족합니다. 한옥마을 주변에 크고작은 주차장이 많이 있지만 주말에는 매우 혼잡합니다.코로나19로 인해서 많은 점포들이 문을 닫았지만 길거리아와 체험거리가 많이 운영되고 있습니다.가을 노랗게 물든 은행잎이 떨어지는 전주향교도 방문하시면 가을 정취를 맛볼 수 있습니다.
24,5,8달,"전주의 핫플레이스입니다. 주야간 모두 꼭 가봐야 할 곳입니다. 볼 것, 즐길 것, 맛볼 것, 체험할 것 모두 좋습니다. 참고로 경기전은 사전 예약해야 관람이 가능합니다. 줄을 서야 구매 가능할 정도로 인기 있는 치즈호떡, 소고기 육전 강추합니다."
25,5,6달,"한옥마을 뷰 객실이 운치있네요.호텔 컨디션도 좋고,  아침 조식 뷔페도  깔끔하고 정갈하니 맛나네요."
26,5,5달,"100년이 넘은 전동성당, 갈대밭길이 아름다운 전주천, 옛도청 자리에 전라북도 관이를 마련했어요"
27,5,7달,한옥마을 오랫만에 가서 한복체험도 하고 경기전 한바퀴도 빠르게 산책했어요 ^^한복 대여점:이리오너라 (예쁜 한복도 많고 경성옷도 많아요)한옥마을 핫플 카페 :마시랑게 카페도 다녀왔어요 ^^한복입고 마시랑게 포토존에서 꼭 찍어야 한답니다^^인생샷 제대로 건진답니다 ^^
28,4,5달,아이들에게는 정말 좋은 체험도시입니다. 먹거리가 예전보다는 좀 그랬지만 고여있지 않고 계속해서 순환하는 도시인거 같아서 좋습니다.
29,5,3달,국내 여행지 중에 손꼽아요^^정말 좋았어요.볼거리 먹거리 짱이에요평일에 가서 한적하게 잘 놀다 왔습니다!!짱짱😀😀😀😀
30,4,1달,"사람이 너무 많아서 걱정했지만, 막상가보면 그이유를 알게 해준곳이에여. 먹을것 볼것 놀것이 많아요. 잘놀다갑니다. 다만 주차문제는 심각한것 같아요."
31,4,6달,너무 상업화되기는 했지만 여전히 매력적인 곳입니다. 전동성당은 보수 중이라. 들어가보지 못했네요. 경기전 내 실내 전시관인 어진도 코로나로 인해 일시 휴관 중입니다. 참고하세요.
32,5,7달,사람이 많아 오랜만에 늦겨본 관광지 온 느낌이었습니다.볼꺼리 먹을꺼리 넘쳐나서 방영수칙만 잘 준수한다면 좋은 여행이 될수있을듯 합니다.
33,5,2달,코로나 해제되니 이전 보다 사람이 더 많아짐. 한복이 옛날보다 세련되고 다양해져서 한복집이 대박인듯
34,4,9달,"대여한 한복을 입고 거리를 활보하며 사진을 찍는 가족, 친구, 연인들이 상당히 많습니다.한복을 대여할 때는 입구에서 대여하지 말고 안쪽으로 들어가서 대여하세요. 가격도 저렴하고 하루종일 대여할 수 있습니다. 입구에서 대여하면 2시간만 대여할 수 있어요."
35,2,8달,소문난 잔치에 먹을것 없다는 느낌!!전통 한옥인지도 의심스러움오목대 데크전망대도 실망그런데도 사람들이 많은 점은 이상함바가지 상술에 호객행위 넘쳐남두번은 못갈것 같음
36,3,1달,1박은해야 한옥마을의 느낌을 고스란히 ~골목 골목 돌아보고 오목대에서 자만벽화마을 구경
37,4,7달,한옥 마을 저체는 아담하게 좋았어요 시내에 자리해서 도보관광도 편리했구요 다만 생각보다 숙소 가격이 비싸요 저흰 부용헌이란 집에 머물렀는데 방도 무지 좁고 침대가 없어 이불깔고 잤어요 한옥이라 그날따라 추워서 바깥과의 온도차이가 엄청나더라구요 압권은 주인이 출타중이라 무료 조식도 없고 직원도 없어서 우리가 자물쇠 따고 들어가서 체크아웃 할 때까지 아무도 없었다는 놀라운 사실 ~~ 침대와 호텔식의 좀 괜찮은 데는 많이 비싸더라구요~~사진을 별로 못찍었어요
38,4,5달,전주는 볼꺼리 먹을꺼리가 많고 즐거운 도시입니다. 재밌게 놀다 왔습니다.
39,5,2달,하루 보고 놀기 적당합니다! 길거리음식이 많아서 입도 즐거웠어요
40,5,2달,데이트 할겸 다녀왔습니다.평일에 가니 한적하고 좋았습니다ㅎㅎ육전에 맥주 마시니 너무 좋네요
41,5,8달,여행을좀 다니는편인데 다녀오면 늘~바가지요금에별다른 특산물없이 거의비슷한 느낌이었는데 전주한옥마을은 크게 이동하지않고 많을것을보고 경험하며 비싸지않은 착한가격의 맛있는 먹거리들 모든게 만족한 아니 대만족한 여행이었어요~백점만점에 200점~♡^^♡
42,5,6달,너무 좋았어요 날씨 좀 따뜻해지면 다시 가고싶네요~전주비빔밥 고로케 맛있어요~!
43,4,3달,산책이라 생각하고 다니시면 건강에 좋은 곳이네요 먹걸이두 있는곳~~
44,4,9달,이 골목 저 골목 볼거리와 체험 등 맛난 음식은 기본ㅎ 여기 저기 호객행위가 있었지만 나쁘지만은 않은... 정감있는 마을이에요구석구석 추억을 만들어 다시 찾고 싶은 곳이었습니다
45,5,3달,어느날 오더라도 아름다울 수 밖에 없는곳 볼거리 먹을거리 그냥 걷기만해도 행복한 곳
46,5,9달,사람이 많아도 이렇게 많은 건 코시국이후 오랜만이라 여행 온 느낌도 나고 젊음이 가득해서 참 좋았습니다. 다만 예전에 비해 상업적인 상점들이 많아서 안타깝긴했지만 어쩔수없는 부분이라.. 해질녘에 가서 노을과 야경도 구경하고 오세요.. 조명으로인해 참 운치있었습니다.
47,5,1년,한 동네 전체가 한옥으로 어우러져 있어 정말 예쁘고 사진 찍기도 좋습니다. 거리가 아주 깨끗하게 잘 가꾸어져 있고 여기저기 먹을거리가 많은 곳입니다. 이틀동안 둘러보기엔 시간이 좀 남을 것 같고 하루만에도 여유롭게 둘러 볼 수 있습니다.
48,5,7달,먹거리 만족하고 볼거리 만족하는 전주한옥마을 여행.몇번을 와두 즐겁네요.이번엔 당일치기 말고 에어비앤비에서 집통채로 빌려  오붓하게 여자친구들끼리 와인파티와 레드아이템 장착하고 사진찍으며 놀았네요.전주는 한식.떡갈비.콩나물국밥.풍년제과.서민갑부육전.문어꼬지가  유명하네요.20대들은 한복이나 교복대여해서 사진찍으며 다니는데  무척 예쁘네요.전주한옥 마을은 다 좋은데 공용주차장이 주말되면 꽉차 주차지옥이 됩니다.평일이용하면 편하게 이용하고 올수있어요.친구과 전주여행 강추합니다
49,5,11달,코로나로 예전보다 사람이 없었지만 많이 깔끔하고 좋아요. 한복 대여점이 너무 많아서ㅜ 구경 할 곳은 많지 않은 것 같아요. 그래도 구석구석 해 볼 것들이 많아요.
50,5,11달,1박2일동안.  너무 재미있게 돌아봤던거같아요.1. 전기 자동차를타고  1시간동안... 전체를 돌아본다. (1시간에 3만원).  너무 넓어서 탐색(구석구석) .2.  탐색한곳을 탐방한다. ㅎㅎ★ 남자보단 여자들이좋아하는거같아요. 곳곳의 수작업 공방들이 많음.★ 한옥마을에서 1박  하는것도 추천요(미리 예약. 앱을통해 예약필수)
51,5,4달,정신없이 두리번 거리느라 카페사진 밖에 없더라는 ... ㅠ살면서 죽기전에 여긴 꼭한번 가봐야 해
52,5,1주,개개인마다 느끼는바가 틀리겠지만 저희부부는 만족하였습니다. 평일에 방문하였습니다.
53,4,4달,야간에 도착해서 둘러보니 더욱좋았다~ 마약육전~만두등을 줄서며 기다리며 음식을 받았는데마약육전은 정말최고였음~ 초코파이도~굳♥ 딸기잼과~초코~ 맛이 없을수가 없당
54,4,7달,한국적요소가 잘 버무려진곳  거리가 한옥화되어 있고 한복 코스튬이 전혀 어색하지 않은 곳입니다.한나절 재미있게 돌아볼수 있습니다.
55,5,3달,복잡한 한옥마을 안에도 좋지만주변에 공원도 아름다운 한옥마을
56,5,3달,좋은 경험이었다이래저래 일장 일단이 있는 곳이고 말도 많은 곳이지만추억으로는 참... 따뜻한 곳이었다
57,4,5달,깔끔하고 그림같이 예쁜 마을에서 좋은 추억 많이 남겨서 좋아요
58,4,1달,걸어다니면서 구경하거나 먹거리가 많고 저녁9시50분까지 맛집들이 운영해서 야식먹기 좋아요  단점은 정말 주차ㅜㅜ 관광객들이 많아서 주차할곳이 없네요 ㅜㅜ  걷기 싫어하시는분들은 호텔로 숙소 잡으세요
59,4,8달,신ㆍ구의 조화 좋았습니다ㆍ잘 알지는 못하지만 지역유명가수의 노래도넘 좋았습니다^♡
60,5,2달,역쉬 한옥마을은 전주가 최고네요몇년전에 왔다 다시방문했는데더 활성화되어 있네요
61,5,2달,2018년도에 다녀왔는데요가도 가도 새로운 곳을 보게 되네요좋아요
62,5,6달,살아있는 한국 전통문화를 한 눈에 보고 즐길 수 있는 곳. 강추!
63,4,11달,"잘 정비되어진 한옥 숙박업소, 베롱나무, 능소화 야간 먹거리 등 가족나들이 최적. 사고석 바닥을 시끄럽게 다니는 바이크 전동보드는 여유있는 거리에 맞지 않는 옥의 티"
64,4,4달,"그냥, 잘 정돈된 관광지북촌한옥마을 상상했는데..  그거보단 관광지 느낌이 더 강해요"
65,4,3주,한옥마을의 특색도 있지만많이 상업화된거같음
66,4,11달,볼거리 즐길거리 많고..각종체험  많고.먹거리 많음..가족들과 나들이 하기엔좋은 장소이나..경비는 좀 두둑히  챙기는게 좋을 듯 싶넹
67,3,8달,"한옥마을을 배경으로한 음식집, 이색카페, 항상하는 행사,작은 박물관 정도가 즐길거리 일행들과 노는 것 자채에 의미를 둔다면 괜찮은 곳, 그러나 한옥전주마을 자채에 거는 기대가 크면 실망할 수 있음"
68,5,1달,뚜벅이인 저에겐 아주 좋은 여행이였어요.~^^예쁜 한복도 입어보고 먹을거리도 원없이 먹었네요.근데 사람이 워낙 많아 짐맡길곳이 여의치않아 너무너무 힘들었구. 경기전 근처 cu 직원분들인지 사장님이신지 야간이나.주간이나 너무 불친절하시네요. 천원짜리 까스활명수하나 사러갔는데 눈에서 왜 레이져를 쏘시는지ㅋㅋㅋ
69,4,1년,"한옥마을이라곤 하나 상업지구에 가까운 것 같습니다. 이곳저곳 돌아보니, 비어있는 곳도 있고 폐점한 곳이 많았습니다. 일부 몇몇 가게들만 꾸준히 인기가 있어서 운영되는 것으로 보입니다."
70,5,1달,"말해 모해먹거리, 볼거리(전주 야행  기간이었음) 모두 최고!"
71,4,2달,한복 대여점에서 맘에든 한복으로 차려입은후 여러 스팟장소에서 촬영후 근처 한옥체험 숙박시설에서 1박하여 피로를 풀었네요
72,5,6달,친구랑 추운날 한복대여해서 멋진추억 만들고 왔네요
73,4,6달,겨울 밤의 한가로움이 여유있는 삶을 느끼게 하지요~항상 다시 가고픈 곳입니다 ㅎ
74,3,9달,"수년전 다녀왔고 다시 최근에 갔는데 많이 바뀐거 같더라고요. 예전엔 정말 순수하게 먹을거, 볼거, 여유로움 이런게 있었는데 지금은 북적거리고 길찾기 어렵고 정신없게 바뀐게 아쉽습니다. 가판대가 인도를 방해하고 있고, 서로 자기가게에 오라고 소리치고, 자동차들은 쌩쌩 달리고... 이번 방문은 많이 아쉬웠습니다. 아이들이 여길 다시 오자고 얘기할지 의문이 듭니다.전주는 다시한번 생각해봐야 할것도 같습니다. 아이들의 기억에 즐거운 곳이 될지 아니면 정신없고 시장같은 한옥마을이 될지요. 당장의 돈벌이는 이해하지만 한옥마을은 그런곳은 아니잖아요."
75,5,1달,유명한 전주의 관광명소입니다. 더운 날씨에도 한옥마을 거리 조그만 수로를 잘 꾸며나서 운치있고 많은 관광객들이 한복대여해서 입고 다녀서 더 운치있는 거리로 만듭니다. 먹거리 천국으로 여러음식이 있으나 그중 육전이 나름 유명합니다. 골목 골목 많은 한옥 숙박업소도 있고 사주관상 보는곳 또 캐리커처 그리는곳듯 다양한 볼거리 즐길거리가 많은 곳입니다. 주차가 좀 힘들지만 반나절 재미있게 즐길수있는 곳입니다.
76,4,5달,이런거넘나하고 싶었었는데 ㅎㅎ50이 넘어서야 해보네여그래두 맘에 쏘~~옥너무늦게 도착해 해질녁 도착이라 조금 아쉬움도 있었지만그래두 그날날씨가 포근해 다행이었네여좋은추억 간직하고 왔어여
77,4,3달,간만에 다녀온 한옥마을..코로나로 오랫만이라 그런지 모든게 맘에들었다. 날씨도 경치도
78,4,3달,족욕할 수 있고 음료도 주는 족욕카페입니다.돌아다니다가 힘들면 와서 음료마시며 족욕하고 힘내서 다시 돌아다닐수있어요^^뷰가 동남아 온 느낌입니다.
79,5,5달,"무난하고 한복 저렴하게 빌린다면 만원으로 빌릴수도 있고, 식당이 아닌 길거리 음식이 맛있습니다"
80,4,3달,족욕할 수 있고 음료도 주는 족욕카페입니다.돌아다니다가 힘들면 와서 음료마시며 족욕하고 힘내서 다시 돌아다닐수있어요^^뷰가 동남아 온 느낌입니다.
81,4,1달,걸어다니면서 구경하거나 먹거리가 많고 저녁9시50분까지 맛집들이 운영해서 야식먹기 좋아요  단점은 정말 주차ㅜㅜ 관광객들이 많아서 주차할곳이 없네요 ㅜㅜ  걷기 싫어하시는분들은 호텔로 숙소 잡으세요
82,5,1달,명불허전. 한옥마을 내의 가게들도 그리고 가게를 찾는 사람들도 예전 정도로 다시 늘어나고 활기를 띄는것 같네요. 오래된 도시의 정취를 느끼기 좋습니다. 우라 문화유산을 보는 의미도 있겠고요. 다만 근처 주차는 좀 어렵네요.
83,4,11달,"잘 정비되어진 한옥 숙박업소, 베롱나무, 능소화 야간 먹거리 등 가족나들이 최적. 사고석 바닥을 시끄럽게 다니는 바이크 전동보드는 여유있는 거리에 맞지 않는 옥의 티"
84,5,7달,가을에도 참 좋습니다.한국의 전통 가옥과 옷을 입고 체험이 가능합니다.
85,5,2달,"10시 이후부터 서서히 사람이 많아지고 오후3시 피크를 찍네요. 맛있는 먹거리, 경치 굿입니다."
86,4,11달,볼거리 즐길거리 많고..각종체험  많고.먹거리 많음..가족들과 나들이 하기엔좋은 장소이나..경비는 좀 두둑히  챙기는게 좋을 듯 싶넹
87,5,9달,TV로만 보던 것과는 다르게 숙소로 묵었던 집도 두 어른신께서 아기자기하게정성스레 잘 꾸며 놓셨다.
88,3,1주,넓기는 한데 대부분이 비슷비슷해서 특색있는 곳은 아니고 아이들과 같이 다니긴 참 좋겠어요
89,5,4달,자녀있는 부부 여행지로 추천합니다.
90,5,1년,좋음.확실히 관광지라 바가지가.. 😅그렇지만 대부분 시설도 좋고 굿굿근데 사람에 비해서 화장실이 별로 없는 듯..풍경도 예쁘고 건물들도 대부분 한옥 느낌이 나서 어디서든 포토존처럼 사진을 찍을 수 있음.
91,4,1달,좋은 곳이지만 식당과 카페만 많고 문화는 부족한  곳. 사람에 치여서 지치는  곳.
92,4,9달,"오송역에서 출발,50분이면 도착하고, 택시로 10분거리..당일치기로 충분히 여유롭게 거닐고 오기 좋았습니다. 한복등은 안쪽에도 많으니..대여료를 잘 알아보시길~"
93,3,1년,4년전과 너무 다른분위기..코로나로 인해 방문객이 임대중인 상점이 많아졌고길거리 음식이 못해도 1/3이상이 줄어들어서 아쉬웠도그 줄어든 수만큼 한복체험이 너무 많이 늘어났음빨리 코로나가 괨찮아져야 예전에 북적임을 느낄수있을거같음
94,5,3달,벚꽃 핀 어느 날 너무 매력적인 전주였어요. 주차장도 잘 되어 있고 셔틀도 운영하시고 버스출발전에 좋은 에너지와 기분좋은 멘트로 들뜨게 해주셨어요.구석구석 다 돌아보지못해 아쉬웠어요. 조만간 그래서  또 가려고요
95,4,2달,근냥 먹거리만 풍부하고 주차할때가 거의 없어요야간에 오시는거 추천드립니다.
96,4,6달,"이 시기에도 많은 사람들이 있었습니다.ㅜㅜ지나는 길에 이곳에서 저녁먹고, 한바퀴 돌고 옮."
97,4,1달,땡볕에 한옥마을... 처음엔 한바퀴 쭈~욱 돌아봤는데 넘 힘들어서 전동차?대여해서 4~5바퀴는 돌고온듯요~^^ 한복대여나 이런것이 문화를 알린다는 그런목적보다도 너무 상업적으로 보이는것이 좀 아쉬웠네요..맛집4군데 가서 음식도 먹어보긴했는데...음...이번2박3일 전주여행..너무 기대했던 탓일까? 아쉬움이 많았던 여행입니다. 다음 경주투어를 기약하며~~~
98,4,2주,전주 한옥마을은 언제 가도 즐거운 도시입니다.회의차 전주에 갔다가 밤늦게 가맥집에 잠시 둘러 보았는데 소탈한 일상에서 좋은 친구와 부담없이 대화를 나눌 좋은 가게지요.가게 맥주라는 가맥집은 2층에 올라가서 오징어와 북어를 안주로 맺주를 마시는곳인데 한번 경험해 보시기 바랍니다
99,4,7달,"많은 기대를 하고 가면 실망해요 ㅋ한복입고 맛있는 길거리 음식먹고 산책하는 느낌으로, 골목 구석구석 찾아다니는 느낌으로 다녀오세요^^오징어게임이후라서 아이와 달고나 체험 하는게 재미났어요~"
100,5,7달,가을에도 참 좋습니다.한국의 전통 가옥과 옷을 입고 체험이 가능합니다.
101,4,2달,다 좋은데 너무 관광지가 되어 사람이 너무 많음
102,5,1년,처음 가봣는데 아주 좋네요낮에도 가보고 밤에도 가봣습니다낮에 바쁘게 움직엿는데 거의 3시간을 구경햇네요   돈 내고 드가야하는 경기전이랑 난장도 드가보길 추천합니다!사진 찍을 스팟이 곳곳에 많네요밤에는 사람들이 낮보다 많지않아서 가볍게 산책하기좋습니다
103,5,2달,"10시 이후부터 서서히 사람이 많아지고 오후3시 피크를 찍네요. 맛있는 먹거리, 경치 굿입니다."
104,4,1년,전주에 여해와 한옥마을 들렀습니다.주말에는 붐비네요.일요일 아침 한가하게 풍경보니 볼거리가 많네요. 자세히 보아야 예쁘다.
105,5,2달,마약육전 막걸리  빠가사리탕  전주천옆 한벽정에서  대금소리에  바람쐬는 길한복이벤트~~
